Year,Country,Temperature,SeaLevel,AgriculturalYield,,
2006,MEX,0.955,89.1,5.23,,
2007,MEX,0.616,89.1,5.08,,
2008,MEX,0.772,89.1,5.08,,
2009,MEX,0.849,89.1,4.97,,
2010,MEX,0.716,89.1,5.42,,
2011,MEX,1.608,89.1,5.48,,
2012,MEX,0.809,89.1,5.66,,
2013,MEX,0.597,89.1,5.29,,
2014,MEX,0.385,89.1,5.19,,
2015,MEX,1.145,89.1,4.38,,
2016,MEX,1.384,89.1,4.96,,
2017,MEX,1.148,89.1,5.01,,
2018,MEX,1.574,89.1,5.06,,
2019,MEX,0.903,89.1,5.09,,
2020,MEX,0.688,89.1,5.14,,
2021,MEX,2.216,89.1,5.18,,
2022,MEX,0.775,89.1,5.22,,
2023,MEX,1.355,89.1,5.26,,
2024,MEX,1.464,89.1,5.31,,
2025,MEX,1.083,89.1,5.35,,
1990,NZL,1.933,89.1,4.41,,
1991,NZL,1.809,89.1,4.78,,
1992,NZL,1.621,89.1,5.36,,
1993,NZL,1.222,89.1,5.43,,
1994,NZL,0.695,89.1,4.67,,
1995,NZL,0.647,89.1,4.54,,
1996,NZL,0.505,89.1,5.49,,
1997,NZL,0.691,89.1,5.9,,
1998,NZL,0.874,89.1,5.33,,
1999,NZL,0.558,89.1,6.64,,
2000,NZL,0.803,89.1,7.43,,
2001,NZL,0.534,89.1,7.14,,
2002,NZL,0.838,89.1,7.47,,
2003,NZL,0.55,89.1,6.26,,
2004,NZL,0.97,89.1,8.18,,
2005,NZL,0.909,89.1,7.82,,
2006,NZL,0.491,89.1,8.5,,
2007,NZL,1.03,89.1,8.11,,
2008,NZL,1.002,89.1,7.49,,
2009,NZL,0.683,89.1,8.12,,
2010,NZL,0.777,89.1,7.29,,
2011,NZL,0.411,89.1,8.92,,
2012,NZL,0.487,89.1,9.11,,
2013,NZL,0.858,89.1,8.63,,
2014,NZL,1.481,89.1,8.75,,
2015,NZL,1.228,89.1,8.35,,
2016,NZL,1.273,89.1,8.58,,
2017,NZL,0.421,89.1,8.64,,
2018,NZL,0.58,89.1,8.69,,
2019,NZL,0.972,89.1,8.74,,
2020,NZL,0.461,89.1,8.79,,
2021,NZL,0.9,89.1,8.84,,
2022,NZL,0.748,89.1,8.89,,
2023,NZL,0.775,89.1,8.94,,
2024,NZL,0.682,89.1,8.99,,
2025,NZL,0.919,89.1,9.05,,
1990,TUR,0.756,89.1,3,,
1991,TUR,0.701,89.1,2.85,,
1992,TUR,0.869,89.1,3,,
1993,TUR,1.353,89.1,3,,
1994,TUR,0.595,89.1,2.93,,
1995,TUR,1.004,89.1,2.4,,
1996,TUR,0.827,89.1,3.05,,
1997,TUR,0.624,89.1,3,,
1998,TUR,0.552,89.1,3.15,,
1999,TUR,0.456,89.1,3.14,,
2000,TUR,0.902,89.1,3.62,,
2001,TUR,1.471,89.1,3.66,,
2002,TUR,0.979,89.1,3.6,,
2003,TUR,0.74,89.1,3.43,,
2004,TUR,1.006,89.1,4.2,,
2005,TUR,1.128,89.1,4.24,,
2006,TUR,1.304,89.1,4.22,,
2007,TUR,0.987,89.1,4.14,,
2008,TUR,0.541,89.1,4.52,,
2009,TUR,0.851,89.1,4.67,,
2010,TUR,0.5,89.1,5.21,,
2011,TUR,1.225,89.1,5.43,,
2012,TUR,1.119,89.1,4.41,,
2013,TUR,0.796,89.1,4.88,,
2014,TUR,1.15,89.1,4.58,,
2015,TUR,0.68,89.1,4.76,,
2016,TUR,1.008,89.1,4.79,,
2017,TUR,0.496,89.1,4.81,,
2018,TUR,0.529,89.1,4.83,,
2019,TUR,0.968,89.1,4.86,,
2020,TUR,0.902,89.1,4.88,,
2021,TUR,0.393,89.1,4.9,,
2022,TUR,0.75,89.1,4.93,,
2023,TUR,0.419,89.1,4.95,,
2024,TUR,1.138,89.1,4.98,,
2025,TUR,0.865,89.1,5,,
1990,TUR,0.923,89.1,2.12,,
1991,TUR,1.14,89.1,2.13,,
1992,TUR,0.502,89.1,2.04,,
1993,TUR,1.006,89.1,2.16,,
1994,TUR,0.951,89.1,1.79,,
1995,TUR,0.306,89.1,1.92,,
1996,TUR,0.95,89.1,1.98,,
1997,TUR,0.36,89.1,2,,
1998,TUR,0.499,89.1,2.23,,
1999,TUR,0.632,89.1,2.08,,
2000,TUR,0.63,89.1,2.23,,
2001,TUR,0.536,89.1,2.03,,
2002,TUR,0.609,89.1,2.1,,
2003,TUR,0.751,89.1,2.09,,
2004,TUR,1.196,89.1,2.26,,
2005,TUR,1.631,89.1,2.32,,
2006,TUR,0.958,89.1,2.36,,
2007,TUR,0.589,89.1,2.13,,
2008,TUR,0.975,89.1,2.2,,
2009,TUR,1.674,89.1,2.54,,
2010,TUR,1.014,89.1,2.43,,
2011,TUR,1.587,89.1,2.69,,
2012,TUR,1.666,89.1,2.67,,
2013,TUR,0.598,89.1,2.84,,
2014,TUR,0.617,89.1,2.4,,
2015,TUR,0.492,89.1,2.87,,
2016,TUR,0.871,89.1,2.91,,
2017,TUR,0.909,89.1,2.95,,
2018,TUR,1.022,89.1,2.99,,
2019,TUR,0.397,89.1,3.03,,
2020,TUR,0.475,89.1,3.07,,
2021,TUR,1.056,89.1,3.11,,
2022,TUR,1.543,89.1,3.16,,
2023,TUR,0.836,89.1,3.2,,
2024,TUR,0.433,89.1,3.24,,
2025,TUR,1.13,89.1,3.29,,
1990,USA,0.28,89.1,4.31,,
1991,USA,0.695,89.1,4.47,,
1992,USA,0.564,89.1,4.47,,
1993,USA,0.647,89.1,4.3,,
1994,USA,0.965,89.1,4.65,,
1995,USA,0.403,89.1,4.38,,
1996,USA,0.721,89.1,4.77,,
1997,USA,0.682,89.1,4.6,,
1998,USA,0.723,89.1,4.42,,
1999,USA,0.857,89.1,4.58,,
2000,USA,0.48,89.1,4.9,,
2001,USA,0.689,89.1,5.07,,
2002,USA,0.478,89.1,5.13,,
2003,USA,0.503,89.1,5.2,,
2004,USA,0.888,89.1,5.45,,
2005,USA,0.53,89.1,5.18,,
2006,USA,0.577,89.1,5.35,,
2007,USA,0.573,89.1,5.63,,
2008,USA,0.549,89.1,5.33,,
2009,USA,0.5,89.1,5.53,,
2010,USA,1.102,89.1,5.24,,
2011,USA,1.236,89.1,5.51,,
2012,USA,1.148,89.1,5.81,,
2013,USA,0.995,89.1,6,,
2014,USA,0.582,89.1,5.92,,
2015,USA,0.962,89.1,5.81,,
2016,USA,0.612,89.1,5.93,,
2017,USA,0.885,89.1,5.98,,
2018,USA,0.631,89.1,6.01,,
2019,USA,1.119,89.1,6.04,,
2020,USA,0.726,89.1,6.07,,
2021,USA,0.461,89.1,6.1,,
2022,USA,0.567,89.1,6.13,,
2023,USA,1.196,89.1,6.16,,
2024,USA,1.157,89.1,6.19,,
2025,USA,0.924,89.1,6.22,,
1990,USA,0.526,89.1,2.66,,
1991,USA,1.077,89.1,2.3,,
1992,USA,0.733,89.1,2.64,,
1993,USA,0.998,89.1,2.57,,
1994,USA,0.602,89.1,2.53,,
1995,USA,0.556,89.1,2.41,,
1996,USA,0.454,89.1,2.44,,
1997,USA,0.912,89.1,2.66,,
1998,USA,0.789,89.1,2.9,,
1999,USA,1.13,89.1,2.87,,
2000,USA,1.146,89.1,2.82,,
2001,USA,0.874,89.1,2.7,,
2002,USA,0.901,89.1,2.38,,
2003,USA,0.792,89.1,2.97,,
2004,USA,1.15,89.1,2.9,,
2005,USA,1.501,89.1,2.83,,
2006,USA,0.854,89.1,2.6,,
2007,USA,0.56,89.1,2.73,,
2008,USA,0.385,89.1,3.02,,
2009,USA,0.698,89.1,2.99,,
2010,USA,0.777,89.1,3.12,,
2011,USA,0.597,89.1,2.94,,
2012,USA,0.675,89.1,3.1,,
2013,USA,0.828,89.1,3.17,,
2014,USA,0.379,89.1,2.94,,
2015,USA,0.426,89.1,2.93,,
2016,USA,0.382,89.1,3.09,,
2017,USA,0.659,89.1,3.11,,
2018,USA,0.512,89.1,3.14,,
2019,USA,0.351,89.1,3.16,,
2020,USA,0.605,89.1,3.19,,
2021,USA,0.564,89.1,3.21,,
2022,USA,0.719,89.1,3.23,,
2023,USA,0.696,89.1,3.25,,
2024,USA,0.734,89.1,3.28,,
2025,USA,0.286,89.1,3.3,,
1990,DZA,0.656,89.1,0.7,,
1991,DZA,0.462,89.1,0.7,,
1992,DZA,0.565,89.1,0.7,,
1993,DZA,0.45,89.1,0.7,,
1994,DZA,0.628,89.1,0.7,,
1995,DZA,0.548,89.1,0.7,,
1996,DZA,0.304,89.1,0.7,,
1997,DZA,1.177,89.1,0.7,,
1998,DZA,0.76,89.1,0.7,,
1999,DZA,0.474,89.1,0.7,,
2000,DZA,0.635,89.1,0.7,,
2001,DZA,0.87,89.1,0.7,,
2002,DZA,0.557,89.1,0.7,,
2003,DZA,0.577,89.1,0.7,,
2004,DZA,0.965,89.1,0.7,,
2005,DZA,0.553,89.1,0.7,,
2006,DZA,0.671,89.1,0.7,,
2007,DZA,0.616,89.1,0.7,,
2008,DZA,0.86,89.1,0.7,,
2009,DZA,0.785,89.1,0.7,,
2010,DZA,0.996,89.1,0.7,,
2011,DZA,0.517,89.1,0.7,,
2012,DZA,0.663,89.1,0.7,,
2013,DZA,1.211,89.1,0.7,,
2014,DZA,0.784,89.1,0.7,,
2015,DZA,0.258,89.1,0.7,,
2016,DZA,0.455,89.1,0.72,,
2017,DZA,0.474,89.1,0.73,,
2018,DZA,1.325,89.1,0.74,,
2019,DZA,0.809,89.1,0.75,,
2020,DZA,0.521,89.1,0.76,,
2021,DZA,0.711,89.1,0.78,,
2022,DZA,0.839,89.1,0.79,,
2023,DZA,1.089,89.1,0.8,,
2024,DZA,1.064,89.1,0.81,,
2025,DZA,0.639,89.1,0.82,,
1990,DZA,0.748,89.1,0.63,,
1991,DZA,0.611,89.1,1.08,,
1992,DZA,0.86,89.1,0.99,,
1993,DZA,0.662,89.1,0.81,,
1994,DZA,0.784,89.1,0.8,,
1995,DZA,0.874,89.1,0.89,,
1996,DZA,0.806,89.1,1.31,,
1997,DZA,1.08,89.1,0.8,,
1998,DZA,1.105,89.1,0.88,,
1999,DZA,0.974,89.1,1.07,,
2000,DZA,0.759,89.1,0.92,,
2001,DZA,1.026,89.1,1.11,,
2002,DZA,0.7,89.1,1.07,,
2003,DZA,0.671,89.1,1.45,,
2004,DZA,0.649,89.1,1.3,,
2005,DZA,0.949,89.1,1.51,,
2006,DZA,0.426,89.1,1.51,,
2007,DZA,0.447,89.1,1.27,,
2008,DZA,1.024,89.1,1.1,,
2009,DZA,0.607,89.1,1.87,,
2010,DZA,0.812,89.1,1.55,,
2011,DZA,0.736,89.1,1.38,,
2012,DZA,0.889,89.1,1.73,,
2013,DZA,1.046,89.1,1.68,,
2014,DZA,0.682,89.1,1,,
2015,DZA,0.317,89.1,1.2,,
2016,DZA,0.488,89.1,1.23,,
2017,DZA,0.429,89.1,1.25,,
2018,DZA,0.491,89.1,1.28,,
2019,DZA,0.386,89.1,1.3,,
2020,DZA,0.392,89.1,1.33,,
2021,DZA,0.827,89.1,1.36,,
2022,DZA,0.878,89.1,1.39,,
2023,DZA,0.412,89.1,1.41,,
2024,DZA,1.048,89.1,1.44,,
2025,DZA,0.883,89.1,1.47,,
1990,ARG,0.718,89.1,3.47,,
1991,ARG,0.46,89.1,3.02,,
1992,ARG,0.644,89.1,2.83,,
1993,ARG,0.773,89.1,2.79,,
1994,ARG,0.427,89.1,3.27,,
1995,ARG,0.63,89.1,3.32,,
1996,ARG,0.589,89.1,4.05,,
1997,ARG,1.462,89.1,3,,
1998,ARG,0.623,89.1,5.11,,
1999,ARG,1.045,89.1,2.03,,
2000,ARG,0.601,89.1,3.02,,
2001,ARG,0.743,89.1,3.07,,
2002,ARG,0.614,89.1,3.77,,
2003,ARG,1.023,89.1,5.62,,
2004,ARG,0.497,89.1,4.04,,
2005,ARG,0.521,89.1,4.84,,
2006,ARG,0.916,89.1,4.09,,
2007,ARG,0.756,89.1,4.94,,
2008,ARG,0.798,89.1,4.76,,
2009,ARG,0.591,89.1,3.58,,
2010,ARG,0.799,89.1,5.2,,
2011,ARG,0.776,89.1,3.92,,
2012,ARG,1.05,89.1,4.31,,
2013,ARG,0.857,89.1,4.43,,
2014,ARG,0.288,89.1,4.17,,
2015,ARG,0.535,89.1,3.84,,
2016,ARG,0.557,89.1,4.7,,
2017,ARG,0.784,89.1,4.78,,
2018,ARG,0.754,89.1,4.83,,
2019,ARG,0.355,89.1,4.87,,
2020,ARG,0.422,89.1,4.92,,
2021,ARG,0.522,89.1,4.96,,
2022,ARG,0.677,89.1,5.02,,
2023,ARG,0.808,89.1,5.06,,
2024,ARG,0.847,89.1,5.11,,
2025,ARG,0.852,89.1,5.15,,
1990,ARG,0.616,89.1,1.91,,
1991,ARG,1.311,89.1,2.17,,
1992,ARG,0.907,89.1,2.32,,
1993,ARG,0.525,89.1,2.01,,
1994,ARG,0.516,89.1,2.17,,
1995,ARG,0.637,89.1,1.93,,
1996,ARG,0.425,89.1,2.24,,
1997,ARG,0.458,89.1,2.63,,
1998,ARG,0.368,89.1,2.43,,
1999,ARG,0.845,89.1,2.55,,
2000,ARG,0.741,89.1,2.49,,
2001,ARG,0.846,89.1,2.39,,
2002,ARG,0.35,89.1,2.24,,
2003,ARG,0.793,89.1,2.03,,
2004,ARG,0.499,89.1,2.54,,
2005,ARG,0.679,89.1,2.63,,
2006,ARG,0.483,89.1,2.53,,
2007,ARG,0.542,89.1,2.75,,
2008,ARG,0.53,89.1,1.96,,
2009,ARG,0.494,89.1,2.76,,
2010,ARG,0.507,89.1,3.49,,
2011,ARG,0.281,89.1,2.75,,
2012,ARG,0.61,89.1,3.23,,
2013,ARG,0.38,89.1,2.66,,
2014,ARG,0.816,89.1,2.66,,
2015,ARG,0.414,89.1,2.6,,
